Contract number,Model,Role:,Rate (Local Currency):,Local Currency:,Frequency:,No. of FTEs:,Start Date of Role:,End Date of Role:,No. of Billable Days/Hours:,Total SOW Value:,Supplier:,Unilever Name:,Cost Model:,SOW Start Date (New):,SOW End Date (New):,SOW Period:,Local Currency:,SOW Value:,Project Scope:,Type of Work:,Service Level:,Vendor Responsibilities:,Client Responsibilities:
00090267,Gemini 2.5 Flash,,,€,"Not specified (rates are per unit, likely per day based on ""man days"")","Not explicitly stated as FTEs, but ""No_of_billable_days/hours"" are provided.",,,,,ACCENTURE (UK) LIMITED,,,,,,€,,,,,,
00090324,Co-pilot,Not explicitly listed,,EUR,Daily,Not explicitly stated,7th April 2025,26th December 2025,984.56 man-days,"€490,000",Accenture (UK) LIMITED,Ayush Kumar; Aarti Gandhi; Rajagopal Nair,Time and Materials,,,From 7th April 2025 to 26th December 2025,EUR,"€490,000",Kinaxis Maestro system enhancements and global deployment,Application Development,Not Applicable,"Application development, testing, deployment, and support","Provide access, data, approvals, and stakeholder availability"
00090324,Notebook LM,,,Euro (€),Monthly breakdown of resource effort and charges,,,,,,ACCENTURE (UK) LIMITED,,,,,,Euro (€),,,,,,
00090324,Gemini 2.5 Flash,,,,,,,,,,,,,,,,,,,,,,
00090997,Co-pilot,"Designer, Developer, Analyst, Architect, Data Scientist",,EUR,Daily,Approx. 370.53 man-days,17th April 2025,31st July 2025,370.53 man-days,"€101,000",Accenture (UK) LIMITED,"Bhaskar Das, Debjani Saikia, Rajagopal Nair",Time and Materials,,,From 17th April 2025 to 31st July 2025,EUR,"€101,000",Segregation of Ice Cream data in QualityOne,Application Development,As per COA Schedule 2,"Design, build, test, deploy segregation features","Provide access, approvals, and subject matter expertise"
00090997,Notebook LM,,,Euro (€),Monthly breakdown of resource effort and charges,,,,,,ACCENTURE (UK) LIMITED,,,,,,Euro (€),,,,,,
00090997,Gemini 2.5 Flash,,,€,Not specified,Not specified,,,370.53 man-days,,ACCENTURE (UK) LIMITED,,,,,,€,,,,,,
00092306,Co-pilot,"Sr Application Specialist, Technical Specialist, Designer",,BRL,Daily,Approx. 253 man-days,19th May 2025,30th September 2025,253 man-days,"€106,000 / R$610,695.68",Accenture do Brasil Limitada,"Carlos Botelho, Marcela Luz, Rajagopal Nair",Time and Materials,,,From 19th May 2025 to 30th September 2025,BRL,"R$610,695.68",Bug fix support for Eddgie Brazil application,Resource Augmentation,Not Applicable,Provide resources for bug resolution,Direction and oversight of activities
00092306,Notebook LM,,,Euro (€) and Brazilian Reals (R$),Monthly breakdown of resource effort and charges,"Not directly provided as FTEs, but 3 resources are provided on a resource augmentation basis. Man-days per role are listed.",,,Total Estimated man-days: 253 man-days,,ACCENTURE DO BRASIL LIMITADA,,,,,,Euro (€) and Brazilian Reals (R$),,,,,,
00092306,Gemini 2.5 Flash,"Niche Sr Application Specialist / Sr Technical Specialist / Sr Architect / Sr Advanced Data Scientist / Sr Advanced Data Science Architect, Niche Tech Application Specialist / Technical Specialist / Sr Functional Consultant / Project Architect / Sr Designer, Niche Tech Designer / Team lead / Project Analyst / Sr Technical Analyst / Functional Expert / Niche Project Mgr / DevOps Mgr / MLOps Mgr / Advanced Data Scientist","342 (Niche Sr Application Specialist / Sr Technical Specialist / Sr Architect / Sr Advanced Data Scientist / Sr Advanced Data Science Architect), 310 (Niche Tech Application Specialist / Technical Specialist / Sr Functional Consultant / Project Architect / Sr Designer), 261 (Niche Tech Designer / Team lead / Project Analyst / Sr Technical Analyst / Functional Expert / Niche Project Mgr / DevOps Mgr / MLOps Mgr / Advanced Data Scientist)",Brazilian Reals,Monthly,3,,,253 man days,,ACCENTURE DO BRASIL LIMITADA,,,,,,Brazilian Reals,,,,,,
